id	id_manufacturer	id_model	mac_address	last_known_ipv4	last_scanned	last_modified	last_configured	selected	authtoken_sha1	model_name	manufacturer_name
21	28	147	C8:1F:EA:9B:64:A6	10.2.248.21	2025-04-03 10:39:18	2025-03-11 16:15:30	2025-04-03 10:39:18	0	NULL	J129	Avaya
22	28	147	C8:1F:EA:9B:67:C0	10.2.248.25	2025-04-03 10:39:18	2025-03-10 14:42:57	2025-04-03 10:39:18	0	NULL	J129	Avaya
23	28	147	C8:1F:EA:9B:6A:51	10.2.248.26	2025-04-03 10:39:18	2025-03-11 16:18:29	2025-04-03 10:39:18	0	NULL	J129	Avaya
24	28	147	C8:1F:EA:9B:43:68	10.2.248.27	2025-04-03 10:39:18	2025-03-11 16:16:51	2025-04-03 10:39:18	0	NULL	J129	Avaya
25	28	147	C8:1F:EA:9B:66:A3	10.2.248.28	2025-04-03 10:39:18	2025-04-01 08:56:16	2025-04-03 10:39:18	0	NULL	J129	Avaya
26	28	147	C8:1F:EA:9B:65:BA	10.2.248.29	2025-04-03 10:39:18	2025-03-10 14:29:22	2025-04-03 10:39:18	0	NULL	J129	Avaya
27	28	147	C8:1F:EA:9B:66:13	10.2.248.32	2025-04-03 10:39:18	2025-03-11 16:11:26	2025-04-03 10:39:18	0	NULL	J129	Avaya
28	28	147	C8:1F:EA:9B:65:5C	10.2.248.33	2025-04-03 10:39:18	2025-03-11 16:12:11	2025-04-03 10:39:18	0	NULL	J129	Avaya
29	28	147	C8:1F:EA:9B:64:FA	10.2.248.34	2025-04-03 10:39:18	2025-03-11 16:12:39	2025-04-03 10:39:18	0	NULL	J129	Avaya
30	28	147	C8:1F:EA:9B:65:00	10.2.248.35	2025-04-03 10:39:18	2025-03-11 16:10:41	2025-04-03 10:39:18	0	NULL	J129	Avaya
33	28	147	C8:1F:EA:9B:65:98	10.2.248.38	2025-04-03 10:39:18	2025-03-11 16:10:08	2025-04-03 10:39:18	0	NULL	J129	Avaya
34	28	147	C8:1F:EA:9B:64:A8	10.2.248.39	2025-04-03 10:39:18	2025-03-11 16:16:16	2025-04-03 10:39:18	0	NULL	J129	Avaya
35	28	147	C8:1F:EA:9B:65:B2	10.2.248.40	2025-04-03 10:39:18	2025-03-11 16:14:23	2025-04-03 10:39:18	0	NULL	J129	Avaya
36	28	147	C8:1F:EA:C3:D5:8C	10.2.248.41	2025-03-13 14:11:09	2025-03-13 17:01:56	2025-03-13 17:01:58	0	NULL	J129	Avaya
37	28	147	C8:1F:EA:9B:43:72	10.2.248.42	2025-04-03 10:39:18	2025-03-11 16:08:57	2025-04-03 10:39:19	0	NULL	J129	Avaya
41	28	147	C8:1F:EA:9B:65:79	10.2.248.20	2025-04-03 10:39:18	2025-03-27 11:56:59	2025-04-03 10:39:18	0	NULL	J129	Avaya
44	28	148	B4:A9:5A:AC:F6:55	10.2.248.48	2025-04-01 09:39:30	2025-04-01 09:40:11	2025-04-01 10:51:25	0	NULL	1603-I	Avaya
