id	id_endpoint	tech	account	priority	mac_address	last_known_ipv4	model_name	manufacturer_name
30	21	sip	4224	1	C8:1F:EA:9B:64:A6	10.2.248.21	J129	Avaya
21	22	sip	4212	1	C8:1F:EA:9B:67:C0	10.2.248.25	J129	Avaya
33	23	sip	4205	1	C8:1F:EA:9B:6A:51	10.2.248.26	J129	Avaya
32	24	sip	4225	1	C8:1F:EA:9B:43:68	10.2.248.27	J129	Avaya
19	26	sip	4211	1	C8:1F:EA:9B:65:BA	10.2.248.29	J129	Avaya
25	27	sip	4226	1	C8:1F:EA:9B:66:13	10.2.248.32	J129	Avaya
26	28	sip	4227	1	C8:1F:EA:9B:65:5C	10.2.248.33	J129	Avaya
27	29	sip	4220	1	C8:1F:EA:9B:64:FA	10.2.248.34	J129	Avaya
24	30	sip	4217	1	C8:1F:EA:9B:65:00	10.2.248.35	J129	Avaya
23	33	sip	4228	1	C8:1F:EA:9B:65:98	10.2.248.38	J129	Avaya
31	34	sip	4221	1	C8:1F:EA:9B:64:A8	10.2.248.39	J129	Avaya
29	35	sip	4223	1	C8:1F:EA:9B:65:B2	10.2.248.40	J129	Avaya
48	36	sip	4297	1	C8:1F:EA:C3:D5:8C	10.2.248.41	J129	Avaya
22	37	sip	4206	1	C8:1F:EA:9B:43:72	10.2.248.42	J129	Avaya
51	41	sip	4210	1	C8:1F:EA:9B:65:79	10.2.248.20	J129	Avaya
