TABLE_SCHEMA	TABLE_NAME	cols
asterisk	admin	2
asterisk	ampusers	6
asterisk	announcement	10
asterisk	bosssecretary_boss	2
asterisk	bosssecretary_chief	2
asterisk	bosssecretary_group	2
asterisk	bosssecretary_group_numbers_free	1
asterisk	bosssecretary_secretary	2
asterisk	callback	6
asterisk	callrecording	4
asterisk	callrecording_module	4
asterisk	cidlookup	20
asterisk	cidlookup_incoming	3
asterisk	cronmanager	6
asterisk	customcontexts_contexts	9
asterisk	customcontexts_contexts_list	3
asterisk	customcontexts_includes	5
asterisk	customcontexts_includes_list	5
asterisk	customcontexts_module	2
asterisk	custom_destinations	3
asterisk	custom_extensions	3
asterisk	dahdi	4
asterisk	dahdichandids	3
asterisk	daynight	3
asterisk	devices	7
asterisk	dialplaninjection_commands	4
asterisk	dialplaninjection_commands_list	5
asterisk	dialplaninjection_dialplaninjections	4
asterisk	dialplaninjection_module	2
asterisk	disa	10
asterisk	dynamicfeatures	7
asterisk	dynroute	19
asterisk	dynroute_dests	4
asterisk	extensions	7
asterisk	featurecodes	7
asterisk	findmefollow	13
asterisk	fop2ButtonContext	2
asterisk	fop2buttons	29
asterisk	fop2contexts	4
asterisk	fop2GroupButton	4
asterisk	fop2groups	3
asterisk	fop2manageracl	3
asterisk	fop2managersecurelevel	3
asterisk	fop2managerUserContext	2
asterisk	fop2managerusers	4
asterisk	fop2PermGroup	5
asterisk	fop2permissions	4
asterisk	fop2plugins	6
asterisk	fop2recordings	8
asterisk	fop2settings	3
asterisk	fop2setup	4
asterisk	fop2templates	8
asterisk	fop2UserContext	2
asterisk	fop2UserGroup	4
asterisk	fop2UserPlugin	4
asterisk	fop2users	5
asterisk	fop2UserTemplate	4
asterisk	globals	2
asterisk	hotelwakeup	10
asterisk	hotelwakeup_calls	13
asterisk	iax	4
asterisk	iaxsettings	4
asterisk	incoming	17
asterisk	indications_zonelist	3
asterisk	issabelpbx_log	6
asterisk	issabelpbx_settings	14
asterisk	ivr_details	20
asterisk	ivr_entries	5
asterisk	languages	4
asterisk	language_incoming	3
asterisk	logfile_logfiles	9
asterisk	logfile_settings	2
asterisk	manager	7
asterisk	managersettings	4
asterisk	meetme	8
asterisk	miscapps	4
asterisk	miscdests	3
asterisk	modules	4
asterisk	module_xml	3
asterisk	notifications	9
asterisk	outbound_routes	10
asterisk	outbound_route_patterns	5
asterisk	outbound_route_sequence	2
asterisk	outbound_route_trunks	3
asterisk	outroutemsg	2
asterisk	paging_autoanswer	3
asterisk	paging_config	4
asterisk	paging_groups	2
asterisk	parkplus	21
asterisk	pinsets	5
asterisk	pinset_usage	3
asterisk	pjsipsettings	4
asterisk	qrcode_templates	3
asterisk	queueprio	4
asterisk	queues_config	24
asterisk	queues_details	4
asterisk	recordings	6
asterisk	ringgroups	17
asterisk	setcid	6
asterisk	sip	4
asterisk	sipsettings	4
asterisk	timeconditions	8
asterisk	timegroups_details	4
asterisk	timegroups_groups	2
asterisk	trunkbalance	24
asterisk	trunks	13
asterisk	trunk_dialpatterns	5
asterisk	tts	6
asterisk	tts_engines	5
asterisk	users	16
asterisk	vmblast	4
asterisk	vmblast_groups	2
asterisk	voicemail_admin	2
asterisk	writequeuelog	9
endpointconfig	configlog	1
endpointconfig	endpoint	10
endpointconfig	endpoint_account	5
endpointconfig	endpoint_account_properties	4
endpointconfig	endpoint_properties	4
endpointconfig	mac_prefix	4
endpointconfig	manufacturer	3
endpointconfig	model	8
endpointconfig	model_properties	4
